exonID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
ENSMUSE00000681583,8.874493568,1.960347403,0.784056578,2.500262683,0.012410125,0.061662991,Dnmt3bos
ENSMUSE00000682016,8.13178435,2.936940675,0.983541039,2.986088589,0.002825708,0.018536705,Ninl
ENSMUSE00000682943,5.871459036,2.331443745,1.091116291,2.136750926,0.032618255,0.130672795,Snw1
ENSMUSE00000687007,209.4153508,0.820324408,0.285880085,2.869470283,0.0041116,0.02531343,Dnmt3aos
ENSMUSE00000692438,19.90464655,1.377131678,0.596212223,2.309801148,0.020899166,0.092761461,Ribc1
ENSMUSE00000693043,54.84546456,2.053867575,0.649139918,3.163982863,0.00155626,0.0112635,Bcl2
ENSMUSE00000698111,31.97329961,1.498095235,0.559841305,2.675928376,0.007452257,0.040855378,Bbs4
ENSMUSE00000698909,70.83280888,1.761988601,0.367469115,4.794929769,1.63E-06,2.79E-05,Als2cr12
ENSMUSE00000699031,8.513440745,2.830429656,0.971499016,2.913466313,0.003574404,0.022589854,Cysrt1
ENSMUSE00000699114,24.56414065,2.859579949,0.694551068,4.117162988,3.84E-05,0.000465316,Rps28
ENSMUSE00000699436,9.388389258,3.361842841,1.08970344,3.085098861,0.002034845,0.014143004,Pglyrp2
ENSMUSE00000700210,99.89427936,1.162200396,0.360079549,3.227621226,0.001248241,0.009305569,Tmem217
ENSMUSE00000703361,4.008567064,4.771049621,1.416130348,3.369075189,0.000754209,0.005985933,Gm14862
ENSMUSE00000706364,3.57630861,3.612404145,1.379373487,2.618873119,0.008822075,0.04693943,Gm13406
ENSMUSE00000706559,5.480067336,1.752910246,0.891780742,1.965629178,0.049341461,0.17657099,Gm17212
ENSMUSE00000707116,196.4889358,3.452589886,0.359995088,9.590658317,8.75E-22,1.51E-19,Mrpl39
ENSMUSE00000707825,7.842617531,1.66550916,0.810217423,2.055632367,0.039817965,0.15126002,Mir467f
ENSMUSE00000707953,18.16186069,1.865883557,0.51987027,3.589133031,0.00033178,0.002934291,Gm12039
ENSMUSE00000708122,19.29014756,2.680630583,0.546969641,4.90087636,9.54E-07,1.73E-05,Gm14441
ENSMUSE00000708251,2.632057082,4.487581485,1.701592111,2.637283903,0.008357285,0.044948235,Gm12677
ENSMUSE00000708344,8.758615135,2.892644938,0.80680054,3.58532846,0.000336654,0.002972989,Gm15484
ENSMUSE00000708425,1.881510863,4.969045906,1.885592903,2.635269733,0.008407045,0.04513435,Gm15554
ENSMUSE00000708485,10.46959635,1.644930704,0.78384195,2.098548953,0.03585668,0.139983189,Gm15823
ENSMUSE00000708751,1.967343367,4.584329746,1.63743529,2.799701323,0.005114991,0.030240639,Gm11282
ENSMUSE00000708949,7.21912623,1.830654191,0.710714589,2.575793741,0.010001028,0.051755974,Gm11522
ENSMUSE00000709399,8.115451122,2.334632671,0.883234729,2.643275444,0.008210821,0.044280448,Gm12103
ENSMUSE00000709714,19.12600407,1.944219799,0.522517027,3.720873577,0.000198535,0.001890604,Gm12564
ENSMUSE00000709828,6.756528586,2.296330994,0.762448033,3.011786895,0.002597149,0.017362419,Gm20489
