name,KO_0h_rep1_dupr_R,KO_0h_rep2_dupr_R,KO_0h_rep3_dupr_R,KO_24h_rep1_dupr_R,KO_24h_rep2_dupr_R,KO_24h_rep3_dupr_R,KO_48h_rep1_dupr_R,KO_48h_rep2_dupr_R,KO_48h_rep3_dupr_R,KO_6h_rep1_dupr_R,KO_6h_rep2_dupr_R,WT_0h_rep1_dupr_R,WT_0h_rep2_dupr_R,WT_0h_rep3_dupr_R,WT_24h_rep1_dupr_R,WT_24h_rep2_dupr_R,WT_24h_rep3_dupr_R,WT_48h_rep1_dupr_R,WT_48h_rep2_dupr_R,WT_48h_rep3_dupr_R,WT_6h_rep1_dupr_R,WT_6h_rep2_dupr_R,WT_6h_rep3_dupr_R
ENSMUSE00000157044,7,8,1,18,45,36,237,180,109,8,4,6,3,5,11,2,14,117,77,108,5,1,1
ENSMUSE00000157340,4,7,7,4,12,11,18,17,10,20,6,6,8,6,11,2,8,4,8,11,31,6,3
ENSMUSE00000157859,15,1,1,8,7,1,28,14,26,27,3,11,3,9,0,1,1,6,6,1,30,3,3
ENSMUSE00000158224,9,0,1,2,0,0,7,0,0,8,3,5,0,2,0,0,0,0,1,0,15,0,1
ENSMUSE00000158547,0,0,0,0,2,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,2,1,0
ENSMUSE00000158680,7,1,1,2,0,4,3,0,0,13,1,10,1,4,0,0,0,0,0,0,7,0,2
ENSMUSE00000158858,3,0,0,2,3,3,8,0,2,9,1,3,0,1,0,0,0,2,0,0,10,0,2
ENSMUSE00000160386,1,1,1,1,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,2,0,0
ENSMUSE00000160744,2,0,4,0,6,2,13,8,1,5,3,9,2,13,1,1,3,1,6,5,1,2,3
ENSMUSE00000160902,2,0,0,0,0,0,2,0,1,8,0,2,1,1,1,0,0,0,0,0,2,0,0
ENSMUSE00000161861,8,7,2,3,1,2,12,5,2,12,3,8,1,4,1,1,0,4,4,4,10,1,0
ENSMUSE00000163152,20,17,6,1,0,1,4,1,1,3,0,17,17,23,2,0,2,2,1,1,1,2,4
ENSMUSE00000163400,122,90,27,3,3,3,29,7,9,26,0,202,195,78,5,0,4,6,0,2,6,0,0
ENSMUSE00000164240,7,0,0,2,3,0,2,2,0,2,2,3,1,0,0,0,0,0,0,0,1,0,0
ENSMUSE00000164888,48,25,57,7,15,26,17,28,13,43,4,56,32,22,8,11,21,10,49,41,20,21,25
ENSMUSE00000165980,2,0,3,0,1,3,0,5,4,8,0,2,2,2,4,3,9,3,4,6,7,2,1
ENSMUSE00000166222,16,3,2,3,1,2,9,3,1,16,7,12,1,3,1,0,0,2,1,0,23,2,1
ENSMUSE00000167726,1,0,2,1,0,0,1,0,0,3,0,1,0,0,0,0,0,1,0,0,7,0,1
ENSMUSE00000167839,22,8,10,14,31,27,23,39,11,28,10,38,6,34,37,17,28,27,38,25,34,29,38
ENSMUSE00000168227,4,1,1,6,7,11,2,7,5,25,0,9,1,2,7,4,9,4,5,9,15,10,9
ENSMUSE00000170246,3,0,0,0,0,1,1,0,0,7,1,1,0,0,0,0,1,1,0,0,2,2,0
ENSMUSE00000170494,5,1,0,4,0,3,3,0,0,12,3,10,0,4,0,0,0,1,0,0,18,2,0
ENSMUSE00000170521,1,1,0,0,0,0,0,0,0,0,2,6,0,0,1,0,0,0,0,0,0,3,0
ENSMUSE00000170681,2,13,6,2,1,1,3,3,3,4,0,6,8,3,0,0,2,3,5,2,0,1,1
ENSMUSE00000171623,126,64,167,46,119,73,87,87,66,123,25,147,89,168,45,53,46,56,70,82,79,65,55
ENSMUSE00000171732,5,2,1,0,0,0,0,1,0,1,0,5,4,0,0,0,0,2,1,0,7,3,1
ENSMUSE00000171748,6,1,8,9,8,0,19,2,4,11,0,9,15,11,1,1,0,1,1,0,5,2,8
ENSMUSE00000172597,5,1,2,101,781,343,62,138,24,761,134,3,1,3,98,223,188,5,124,41,636,571,605
ENSMUSE00000173093,7,1,0,0,1,0,11,1,1,4,3,3,2,4,1,0,1,1,1,0,28,4,2
ENSMUSE00000173180,6,0,0,8,0,0,2,1,0,9,0,1,0,2,0,1,0,0,1,0,11,1,2
ENSMUSE00000173340,18,0,2,2,2,0,4,0,0,6,3,7,6,2,1,1,2,5,2,0,34,2,1
ENSMUSE00000173808,19,4,6,9,11,2,9,5,6,67,1,7,3,3,4,3,8,14,6,7,49,23,57
ENSMUSE00000174483,59,54,44,54,118,104,45,72,48,234,108,67,50,47,122,126,80,42,85,64,208,256,269
ENSMUSE00000174667,89,27,51,32,40,32,61,48,36,110,6,82,39,34,39,16,32,41,50,25,72,47,107
ENSMUSE00000175079,68,26,24,9,27,22,52,135,39,38,1,60,1,28,59,34,60,145,99,111,29,11,11
ENSMUSE00000175823,15,18,54,8,7,4,8,5,8,41,2,20,22,21,8,7,6,6,5,3,47,17,64
ENSMUSE00000176069,3,6,0,5,9,5,2,5,0,25,4,8,5,0,2,1,0,1,4,0,15,10,11
ENSMUSE00000176688,7,3,1,5,6,11,1,7,3,2,1,5,4,1,1,2,1,2,3,0,3,1,1
ENSMUSE00000177262,44,38,15,24,40,15,45,38,19,60,8,40,27,33,9,14,14,27,30,21,50,7,42
ENSMUSE00000177435,121,48,39,13,19,19,41,35,23,43,1,278,41,69,7,19,13,33,46,22,26,9,10
ENSMUSE00000177476,3,2,1,2,0,0,1,0,0,4,3,12,0,0,0,0,1,4,3,3,15,0,2
ENSMUSE00000177767,212,101,177,8,18,16,31,21,14,29,8,468,81,167,17,4,8,22,39,7,53,29,42
ENSMUSE00000178408,0,0,0,1,0,0,2,0,0,6,0,1,1,0,0,0,0,0,0,0,9,0,2
ENSMUSE00000179189,6,0,0,3,1,0,3,0,0,5,2,6,0,1,2,0,0,2,0,0,12,0,0
ENSMUSE00000184890,72,69,26,12,47,44,73,86,36,104,7,88,52,49,23,17,18,43,87,81,67,49,67
ENSMUSE00000184916,218,199,222,27,24,28,39,20,13,57,12,318,92,200,33,10,21,34,23,22,38,26,76
ENSMUSE00000184994,181,92,125,3,4,5,16,9,7,22,5,265,260,206,7,9,0,14,33,16,18,4,9
ENSMUSE00000185252,1,1,0,1,5,2,3,1,5,6,0,1,0,0,1,0,0,0,4,4,2,1,0
ENSMUSE00000185683,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0
ENSMUSE00000185974,32,19,10,4,8,14,18,15,15,32,9,54,12,21,8,2,19,8,31,16,26,17,9
ENSMUSE00000185994,4,2,2,8,2,0,2,0,0,11,5,4,1,1,0,1,1,4,1,3,19,1,0
ENSMUSE00000187169,2,0,1,3,1,0,1,0,0,8,0,3,0,0,0,0,0,0,0,0,9,0,0
ENSMUSE00000187463,8,0,0,1,1,0,1,0,0,6,0,4,0,3,0,0,0,1,0,0,23,0,0
ENSMUSE00000187685,11,2,1,4,1,0,6,0,0,16,2,16,1,4,0,0,1,1,0,0,23,4,3
ENSMUSE00000187862,1,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,1,0,9,0,0
ENSMUSE00000188188,83,56,121,104,188,151,155,131,114,237,43,101,85,80,100,142,125,178,220,149,214,174,178
ENSMUSE00000188392,2,0,0,1,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,9,0,0
ENSMUSE00000189753,124,119,51,40,36,32,90,72,30,140,25,97,87,82,42,31,43,81,59,47,113,81,157
ENSMUSE00000189851,18,16,38,4,33,27,10,15,16,38,8,28,5,45,9,13,11,9,26,26,26,36,38
ENSMUSE00000190593,4,0,0,1,0,1,4,0,0,4,1,0,0,0,0,2,0,0,0,1,6,1,0
ENSMUSE00000191310,30,18,10,3,9,2,27,16,11,6,0,68,13,28,2,2,13,5,9,17,6,0,2
ENSMUSE00000191441,8,0,1,0,2,2,1,0,0,11,3,5,0,3,0,0,0,1,1,0,10,3,0
ENSMUSE00000191644,5,1,7,0,4,0,3,0,0,7,1,5,4,3,2,0,0,1,1,3,8,6,2
ENSMUSE00000192313,8,0,0,3,0,3,1,0,0,6,0,1,0,0,0,2,0,1,0,0,5,1,0
ENSMUSE00000192482,180,156,121,85,176,123,171,176,85,390,63,310,121,198,118,58,95,147,160,134,348,249,309
ENSMUSE00000192514,5,3,0,7,2,4,11,0,0,21,7,4,3,3,4,0,3,2,2,1,17,4,1
ENSMUSE00000192944,19,6,2,12,1,1,13,5,1,15,4,13,1,5,2,0,2,2,4,4,18,7,3
