gs_name,gene_symbol
WTvsKO_48h_up,A630091E08Rik
WTvsKO_48h_up,P2ry2
WTvsKO_48h_up,Dennd5a
WTvsKO_48h_up,Mrvi1
WTvsKO_48h_up,Cdr2
WTvsKO_48h_up,Dusp8
WTvsKO_48h_up,H19
WTvsKO_48h_up,Cars
WTvsKO_48h_up,Rab20
WTvsKO_48h_up,Gm16793
WTvsKO_48h_up,Lonrf1
WTvsKO_48h_up,Gm9892
WTvsKO_48h_up,Nfix
WTvsKO_48h_up,Gcsh
WTvsKO_48h_up,Slc7a5
WTvsKO_48h_up,Aprt
WTvsKO_48h_up,Arid3b
WTvsKO_48h_up,Zfp609
WTvsKO_48h_up,Aqp9
WTvsKO_48h_up,Tent5a
WTvsKO_48h_up,Gm17040
WTvsKO_48h_up,Hemk1
WTvsKO_48h_up,Ccr4
WTvsKO_48h_up,Trim71
WTvsKO_48h_up,Cnksr3
WTvsKO_48h_up,Enpp1
WTvsKO_48h_up,Prdm1
WTvsKO_48h_up,Agpat3
WTvsKO_48h_up,Aldh1l2
WTvsKO_48h_up,Cfap54
WTvsKO_48h_up,Gm29684
WTvsKO_48h_up,Gm48880
WTvsKO_48h_up,Socs2
WTvsKO_48h_up,Xpot
WTvsKO_48h_up,Slc26a10
WTvsKO_48h_up,Mars
WTvsKO_48h_up,Shmt2
WTvsKO_48h_up,Ikzf4
WTvsKO_48h_up,Hormad2
WTvsKO_48h_up,Gm12020
WTvsKO_48h_up,Slc1a4
WTvsKO_48h_up,Npm1
