# Program:featureCounts v1.5.2; Command:"featureCounts" "-T" "16" "-t" "mRNA" "-f" "-O" "-g" "ID" "-p" "-B" "-C" "-a" "/gpfs/group/pipkin/hdiao/Exp337/codes_hpc/Mus_musculus.GRCm38.102.mRNA.simp.rmdup.srt.gff3" "-o" "/gpfs/group/pipkin/hdiao/Exp337/2_featureCounts/337_2_neg_mRNA.txt" "/gpfs/group/pipkin/hdiao/Exp337/1_bowtie2/337_2_srt_flt_neg_srt.bam" 
Geneid	Chr	Start	End	Strand	Length	/gpfs/group/pipkin/hdiao/Exp337/1_bowtie2/337_2_srt_flt_neg_srt.bam
Erbb4	1	68032186	69108059	-	1075874	805
Ikzf2	1	69531214	69687245	-	156032	130
Spag16	1	69826988	70725132	+	898145	659
Vwc2l	1	70725715	70885397	+	159683	121
Bard1	1	71027498	71103146	-	75649	82
Abca12	1	71242276	71414910	-	172635	141
Atic	1	71557150	71579631	+	22482	435
Fn1	1	71585520	71653200	-	67681	58
Mreg	1	72159442	72212307	-	52866	33
Pecr	1	72259167	72284314	-	25148	22
Tmem169	1	72284369	72303104	+	18736	11
Xrcc5	1	72307427	72394952	+	87526	1781
Marchf4	1	72427112	72536930	-	109819	75
Smarcal1	1	72583251	72633134	+	49884	415
Ankar	1	72642980	72700579	-	57600	53
Rpl37a	1	72711290	72713813	+	2524	396
Igfbp2	1	72824503	72852474	+	27972	18
Igfbp5	1	72857932	72874884	-	16953	12
Tnp1	1	73015074	73015909	-	836	0
Tns1	1	73910231	74124449	-	214219	92
Rufy4	1	74125541	74148223	+	22683	16
Cxcr2	1	74153989	74161246	+	7258	8
Cxcr1	1	74191785	74194631	-	2847	1
Arpc2	1	74236084	74268209	+	32126	1879
Gpbar1	1	74278550	74279624	+	1075	0
Aamp	1	74279840	74284738	-	4899	9
Pnkd	1	74284930	74353694	+	68765	318
Tmbim1	1	74288247	74305622	-	17376	138
Catip	1	74362108	74369321	+	7214	3
Slc11a1	1	74375195	74386062	+	10868	12
Ctdsp1	1	74391509	74397285	+	5777	145
Vil1	1	74409376	74435559	+	26184	23
Usp37	1	74435511	74544284	-	108774	540
Cnot9	1	74506058	74530842	+	24785	390
Plcd4	1	74542888	74567794	+	24907	11
Zfp142	1	74565127	74588246	-	23120	23
Bcs1l	1	74588289	74592443	+	4155	69
Rnf25	1	74593748	74601397	-	7650	18
Stk36	1	74601445	74636894	+	35450	22
Ttll4	1	74661745	74703730	+	41986	2105
Cyp27a1	1	74713574	74737892	+	24319	16
Prkag3	1	74738922	74749221	-	10300	2
Wnt6	1	74771892	74785322	+	13431	11
Wnt10a	1	74791516	74804179	+	12664	10
Cdk5r2	1	74854934	74857732	+	2799	0
Fev	1	74881509	74885419	-	3911	3
Cryba2	1	74889934	74893143	-	3210	3
Cfap65	1	74902071	74935599	-	33529	20
Ihh	1	74945315	74951672	-	6358	2
Nhej1	1	74967139	75046639	-	79501	40
Slc23a3	1	75125541	75133890	-	8350	4
Cnppd1	1	75134554	75142711	-	8158	10
Retreg2	1	75142778	75147913	+	5136	85
Zfand2b	1	75168646	75171629	+	2984	42
Abcb6	1	75171717	75180392	-	8676	16
Atg9a	1	75180860	75192196	-	11337	5
Ankzf1	1	75192160	75199387	+	7228	104
Glb1l	1	75198243	75210813	-	12571	40
Stk16	1	75210838	75215606	+	4769	239
Tuba4a	1	75214228	75219865	-	5638	73
A630095N17Rik	1	75220095	75232102	-	12008	4
Dnajb2	1	75236406	75245692	+	9287	204
Ptprn	1	75247027	75264502	-	17476	37
Resp18	1	75272199	75278415	-	6217	4
Dnpep	1	75307896	75317990	-	10095	3
Des	1	75360329	75368579	+	8251	8
Speg	1	75375297	75432320	+	57024	31
Gmppa	1	75435930	75443174	+	7245	154
Asic4	1	75450436	75474343	+	23908	9
Chpf	1	75474569	75479307	-	4739	3
Tmem198	1	75479532	75485705	+	6174	28
Obsl1	1	75485825	75506361	-	20537	10
Inha	1	75507077	75510366	+	3290	4
Stk11ip	1	75521529	75537335	+	15807	152
Slc4a3	1	75546266	75562172	+	15907	5
Epha4	1	77367185	77515088	-	147904	97
Pax3	1	78101267	78197134	-	95868	74
Sgpp2	1	78310345	78420289	+	109945	74
Farsb	1	78417975	78488897	-	70923	53
BC035947	1	78497026	78512158	-	15133	14
Mogat1	1	78510991	78538173	+	27183	25
Acsl3	1	78657825	78707743	+	49919	236
Utp14b	1	78658038	78671512	+	13475	120
Kcne4	1	78816758	78820028	+	3271	0
Scg2	1	79434669	79440120	-	5452	3
Ap1s3	1	79606876	79671972	-	65097	59
Wdfy1	1	79702262	79776143	-	73882	47
Mrpl44	1	79776018	79781445	+	5428	69
Serpine2	1	79794197	79861180	-	66984	41
Fam124b	1	80198706	80213944	-	15239	12
Cul3	1	80264923	80340480	-	75558	66
Gm45261	1	80449597	80461448	-	11852	4
Dock10	1	80501073	80758448	-	257376	292
Nyap2	1	81076950	81341764	+	264815	206
Irs1	1	82233101	82291416	-	58316	43
Gm9747	1	82233112	82235933	+	2822	2
Rhbdd1	1	82316452	82445366	+	128915	2652
Col4a4	1	82448423	82586849	-	138427	146
Col4a3	1	82586976	82722059	+	135084	82
Mff	1	82724890	82752394	+	27505	338
Tm4sf20	1	82756649	82768461	-	11813	119
Gm47791	1	82770824	82771243	-	420	2
Agfg1	1	82839483	82901182	+	61700	2863
A030005L19Rik	1	82913325	82914130	+	806	21
A030014E15Rik	1	82924917	82925712	+	796	3
Gm6217	1	82930571	82931399	-	829	2
A030003K21Rik	1	82942559	82943388	-	830	0
Gm7544	1	82955186	82956013	-	828	1
Gm47955	1	82960286	82960924	+	639	0
Gm47959	1	83000548	83001480	+	933	1
Slc19a3	1	83012523	83038448	-	25926	20
Krtap28	1	83041524	83061921	-	20398	11
Gm47969	1	83044932	83045946	+	1015	1
A030005K14Rik	1	83058286	83059378	-	1093	0
Ccl20	1	83116766	83119167	+	2402	1
Daw1	1	83159762	83210574	+	50813	29
Sphkap	1	83254139	83408200	-	154062	132
Pid1	1	84036296	84364180	-	327885	267
Dner	1	84369839	84696221	-	326383	234
Trip12	1	84721189	84840516	-	119328	112
Fbxo36	1	84839841	84900487	+	60647	59
Slc16a14	1	84905898	84935134	-	29237	19
AC167036.1	1	84958982	84964572	+	5591	4
AC167036.2	1	85027954	85028844	-	891	1
A530032D15Rik	1	85083069	85109853	-	26785	61
C130026I21Rik	1	85112267	85270566	-	158300	275
Gm7609	1	85199613	85213786	+	14174	10
AC147806.1	1	85484252	85485142	-	891	3
AC147806.2	1	85526602	85552178	+	25577	39
G530012D18Rik	1	85575676	85577295	+	1620	0
Sp110	1	85576899	85598817	-	21919	38
Sp140	1	85600378	85645037	+	44660	227
Sp100	1	85649988	85709998	+	60011	334
A630001G21Rik	1	85717083	85778643	-	61561	45
Cab39	1	85793441	85851576	+	58136	1966
Itm2c	1	85894281	85908675	+	14395	54
4933407L21Rik	1	85928483	85940624	+	12142	3
Gpr55	1	85938318	85961007	-	22690	13
Spata3	1	86018068	86029958	+	11891	8
2810459M11Rik	1	86045863	86055456	+	9594	4
Psmd1	1	86064619	86139151	+	74533	1383
Htr2b	1	86099026	86111970	-	12945	317
Gm21972	1	86133637	86162788	+	29152	190
Armc9	1	86154798	86278284	+	123487	257
B3gnt7	1	86303234	86307305	+	4072	1
Ncl	1	86344719	86359400	-	14682	42
Nmur1	1	86386303	86426228	-	39926	31
Tex44	1	86426329	86428052	+	1724	1
Ptma	1	86526726	86530712	+	3987	1377
Pde6d	1	86542994	86582629	-	39636	47
Cops7b	1	86582904	86609375	+	26472	256
Nppc	1	86666291	86670571	-	4281	0
Dis3l2	1	86703819	87050095	+	346277	2872
Alppl2	1	87086694	87089928	-	3235	1
Alpi	1	87098002	87101606	-	3605	0
Akp3	1	87125008	87127912	+	2905	1
Ecel1	1	87147655	87156521	-	8867	2
Prss56	1	87183313	87188405	+	5093	2
Chrnd	1	87190637	87200070	+	9434	4
Chrng	1	87204657	87212694	+	8038	9
Eif4e2	1	87213914	87240488	+	26575	1212
Efhd1	1	87264363	87310839	+	46477	29
Gigyf2	1	87327003	87450796	+	123794	2328
Kcnj13	1	87386363	87394729	-	8367	141
Snorc	1	87470271	87475482	+	5212	3
Ngef	1	87476834	87573870	-	97037	64
Neu2	1	87509889	87597845	+	87957	64
Inpp5d	1	87620312	87720507	+	100196	564
Atg16l1	1	87755870	87792428	+	36559	2420
Sag	1	87803680	87845158	+	41479	324
Dgkd	1	87853287	87945180	+	91894	4239
Usp40	1	87945119	88008551	-	63433	357
Ugt1a10	1	88055388	88219004	+	163617	144
Ugt1a9	1	88070800	88218997	+	148198	140
Ugt1a8	1	88087813	88219004	+	131192	125
Ugt1a7c	1	88095062	88220002	+	124941	120
Ugt1a6b	1	88103252	88219003	+	115752	116
Ugt1a6a	1	88134809	88218997	+	84189	98
Ugt1a5	1	88166012	88218997	+	52986	75
Ugt1a2	1	88200601	88218997	+	18397	46
Dnajb3	1	88204732	88205782	-	1051	0
Ugt1a1	1	88211959	88218997	+	7039	42
Mroh2a	1	88227020	88262289	+	35270	119
Hjurp	1	88262471	88277633	-	15163	53
Trpm8	1	88303283	88389293	+	86011	70
Spp2	1	88406961	88426438	+	19478	15
Glrp1	1	88499871	88510066	-	10196	7
Arl4c	1	88673125	88702221	-	29097	19
Sh3bp4	1	89070415	89155068	+	84654	65
Agap1	1	89454806	89897617	+	442812	234
Gbx2	1	89927956	89931179	-	3224	1
Asb18	1	89950220	90014666	-	64447	34
Iqca	1	90042132	90153401	-	111270	63
Ackr3	1	90203980	90216751	+	12772	4
Cops8	1	90602981	90613341	+	10361	385
Col6a3	1	90765923	90843971	-	78049	40
Mlph	1	90915085	90951142	+	36058	22
Prlh	1	90953108	90954027	+	920	0
Rab17	1	90958133	90969661	-	11529	8
Lrrfip1	1	90998737	91128944	+	130208	2571
Rbm44	1	91145101	91170795	+	25695	15
Ramp1	1	91179822	91225196	+	45375	43
Ube2f	1	91250311	91290337	+	40027	883
Scly	1	91298338	91321075	+	22738	193
Espnl	1	91322075	91348306	+	26232	15
Klhl30	1	91351016	91362416	+	11401	9
Erfe	1	91366430	91374217	+	7788	4
Ilkap	1	91373861	91398801	-	24941	23
Hes6	1	91411483	91413222	-	1740	2
Per2	1	91415982	91459324	-	43343	22
Traf3ip1	1	91494647	91529307	+	34661	312
Asb1	1	91540544	91559589	+	19046	69
Twist2	1	91801461	91848028	+	46568	24
Hdac4	1	91928779	92180341	-	251563	203
Ndufa10	1	92439010	92473860	-	34851	19
Olfr1416	1	92475925	92485113	-	9189	7
